548,大戲,tuā-hì,,
549,山嶺,suann-niá,,
550,土檨仔,thóo-suāinn-á,,
551,上濟,siōng tsē/siōng tsuē,,
552,上聲,sióng-siann,,
553,大聲,tuā-siann,,
554,大膽,tuā-tánn,,
555,大聲話,tuā-siann-uē,,
556,下擺,ē-pái,,
557,小嬸,sió-tsím,,
558,土雞仔,thóo-ke-á/thóo-kue-á,,
559,下顎,ē-kok,,
560,工藝,kang-gē,,
561,下願,hē-guān,,
562,大龐,tuā-phiāng,,
563,大麵,tuā-mī,,
564,大欉,tuā-tsâng,,
565,大廳,tuā-thiann,,
566,不,put,,一
567,丑,thiú,,一
568,中,tìng,白,｜
569,中,tiong,文,｜
570,中,tiòng,文,｜
571,丹,tan,,丶
572,之,tsi,,丿
573,予,hōo,,亅
574,五,gōo,白,二
575,五,ngóo,文,二
576,井,tsénn/tsínn,白,二
577,仁,jîn/lîn,,人
578,仄,tseh,,人
579,仆,phak,,人
580,仇,siû,,人
581,今,tann,替,人
582,允,ín/ún,,儿
583,內,lāi,白,入
584,內,luē,文,入
585,公,kang,白,八
586,公,kong,文,八
587,六,la̍k,白,八
588,六,lio̍k,文,八
589,冇,phànn,替,一
590,冗,līng,,冖
591,冗,liōng,,冖
592,凶,hiong,,凵
593,分,hun,文,刀
594,分,pun,白,刀
595,切,tshiat,,刀
596,勻,ûn,替,勹
597,勼,kiu,白,勹
598,勾,kau,,勹
599,內䘥仔,lāi-kah-á,,
600,中人,tiong-lâng,,
601,允人,ín--lâng/ún--lâng,,
602,不才,put-tsâi,,
603,內山,lāi-suann,,
604,內才,lāi-tsâi,,
605,分寸,hun-tshùn,,
606,不三不四,put-sam-put-sù,,
607,不仁,put-jîn/put-lîn,,
608,中元,Tiong-guân,,
609,五仁,ngóo-jîn/ngóo-lîn,,
610,仁丹,jîn-tan/lîn-tan,,
611,內公,lāi-kong,,
612,公元,kong-guân,,
613,公分,kong-pun,,
614,公分,kong-hun,,
615,勻勻仔,ûn-ûn-á,,
616,勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé,,
617,五分仔車,gōo-hun-á-tshia,,
618,不中用,put-tiòng-iōng,,
619,五分車,gōo-hun-tshia,,
620,不止,put-tsí,,
621,中心,tiong-sim,,
622,井水,tsénn-tsuí/tsínn-tsuí,,
623,內心,luē-sim,,
624,公文,kong-bûn,,
625,公斤,kong-kin/kong-kun,,
626,冇手,phànn-tshiú,,
627,切手,tshiat-tshiú,,
628,勼手,kiu-tshiú,,
629,勼水,kiu-tsuí,,
630,勾引,kau-ín,,
631,六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,,
632,不止仔,put-tsí-á,,
633,六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang,,
634,五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,,
635,五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,,
636,丑仔,thiú-á,,
637,今仔,tann-á,,
638,今仔日,kin-á-ji̍t/kin-á-li̍t,,
639,勻仔是,ûn-á-sī,,
640,中古,tiong-kóo,,
641,內外,lāi-guā,,
642,五加皮,ngóo-ka-pî,,
643,內奶,lāi-ling/lāi-ni,,
644,公平,kong-pênn/kong-pînn,,
645,公母,kang-bó,,
646,公民,kong-bîn,,
647,中用,tiòng-iōng,,
648,中立,tiong-li̍p,,
649,丹田,tan-tiân,,
650,公用,kong-iōng,,
651,冇石仔,phànn-tsio̍h-á,,
652,予伊,hōo i,,
653,介在,kài-tsāi,,
654,公共,kong-kiōng,,
655,六合,lio̍k-ha̍p,,
656,今年,kin-nî,,
657,內地,lāi-tē/lāi-tuē,,
658,凶年,hiong-nî,,
659,中旬,tiong-sûn,,
660,冗早,liōng-tsá,,
661,不死鬼,put-sú-kuí,,
662,內行,lāi-hâng,,
663,內行的,lāi-hâng--ê,,
664,不而過,put-jî-kò/put-lî-kò,,
665,不但,put-tān,,
666,分伻,pun-phenn,,
667,分別,hun-pia̍t,,
668,不孝,put-hàu,,
669,不求人,put-kiû-jîn/put-kiû-lîn,,
670,公里,kong-lí,,
671,分身,hun-sin,,
672,公事,kong-sū,,
673,中和,tiong-hô,,
674,內底,lāi-té/lāi-tué,,
675,公所,kong-sóo,,
676,不服,put-ho̍k,,
677,分明,hun-bîng,,
678,不法,put-huat,,
679,六法全書,lio̍k-huat-tsuân-su,,
680,公的,kang--ê,,
681,分的,pun--ê,,
682,五金,ngóo-kim,,
683,五金行,ngóo-kim-hâng,,
684,中指,tiong-tsáinn,,
685,內政,luē-tsìng,,
686,五柳居,ngóo-liú-ki/ngóo-liú-ku,,
687,中毒,tiòng-to̍k,,
688,丹毒,tan-to̍k,,
689,冇炭,phànn-thuànn,,
690,分派,hun-phài,,
691,中秋,Tiong-tshiu,,
692,內科,lāi-kho,,
693,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,,
694,中秋餅,Tiong-tshiu-piánn,,
695,中計,tiòng-kè,,
696,內衫,lāi-sann,,
697,中風,tiòng-hong,,
698,五香,ngóo-hiang,,
699,元首,guân-siú,,
700,內面,lāi-bīn,,
701,允准,ín-tsún/ún-tsún,,
